Sector,Scale,CredtorsDaysMin,CredtorsDaysMax
 Alcoholic Beverages Industry,Large,"5,431.75","11,790.25"
 Alcoholic Beverages Industry,Medium,"3,073.75","10,208.75"
 Alcoholic Beverages Industry,Small,"11,906.75","28,657.75"
 Books & Cards,Large,"9,967.50","51,740"
 Books & Cards,Medium,"11,884","32,107"
 Books & Cards,Small,"9,002","70,523.25"
 Cocoa Products & Confectionery,Large,"2,076.50","10,798"
 Cocoa Products & Confectionery,Medium,"4,097","8,910.50"
 Cocoa Products & Confectionery,Small,"3,434.75","19,436.25"
 Diversified Metal & Metal Products ,Large,"4,859","10,752"
 Diversified Metal & Metal Products ,Medium,"5,961.75","14,942.50"
 Diversified Metal & Metal Products ,Small,"4,517.50","12,319.50"
 Glass & Glassware,Large,"4,803.75","9,711.50"
 Glass & Glassware,Medium,"4,032","9,374.50"
 Glass & Glassware,Small,"3,055.50","15,234.75"
 Misc. Electrical Machinery,Large,"4,144.50","8,526.50"
 Misc. Electrical Machinery,Medium,"7,725","17,431"
 Misc. Electrical Machinery,Small,"4,445.75","21,332.75"
 Other Consumer Goods,Large,"5,871","18,101"
 Other Consumer Goods,Medium,"4,172","11,878.50"
 Other Consumer Goods,Small,"7,206","24,584"
 Wholesale Trading Industry,Large,"1,986","11,770.75"
 Wholesale Trading Industry,Medium,"2,901.25","16,649.25"
 Wholesale Trading Industry,Small,"4,042.50","22,259.75"
 Pesticides,Large,"7,281","10,432.25"
 Pesticides,Medium,"5,976.25","9,529.50"
 Pesticides,Small,"5,576.75","18,083"
Agricultural Machinery,Large,"6,993","8,728.50"
Agricultural Machinery,Medium,"4,422.75","8,402.25"
Agricultural Machinery,Small,"2,703","26,397.50"
Air Transport & Allied Services ,Large,"4,324.50","31,072.50"
Air Transport & Allied Services ,Medium,"14,612.25","50,900"
Air Transport & Allied Services ,Small,"15,040","1,95,482.25"
Air-conditioners & Refrigerators,Large,"12,805","14,551.50"
Air-conditioners & Refrigerators,Medium,"12,989.75","18,572.50"
Air-conditioners & Refrigerators,Small,"18,824.75","38,335.25"
Aluminium & Aluminium Products,Large,"2,155.75","7,377.75"
Aluminium & Aluminium Products,Medium,"1,866.25","8,700"
Aluminium & Aluminium Products,Small,"1,434","14,233"
Automobile ,Large,"5,914","10,646"
Automobile ,Medium,"8,071.25","14,391.50"
Automobile ,Small,"6,622","15,048"
Automobiles Ancillaries,Large,"6,722","10,702"
Automobiles Ancillaries,Medium,"6,391","12,486"
Automobiles Ancillaries,Small,"6,995","16,650.75"
Bakery Products,Large,"1,903","4,689.75"
Bakery Products,Medium,"1,789","7,565.50"
Bakery Products,Small,"4,714","31,800.50"
Boilers & Turbines,Large,"12,729","27,097.50"
Boilers & Turbines,Medium,"6,575","14,256.75"
Boilers & Turbines,Small,"12,986.25","3,00,000"
Business services and consultancy,Large,"10,915.50","1,65,455.50"
Business services and consultancy,Medium,"11,341","1,97,100"
Business services and consultancy,Small,"23,546.50","3,00,000"
Castings & Forgings,Large,"4,329.25","10,167.75"
Castings & Forgings,Medium,"3,511","12,398"
Castings & Forgings,Small,"5,954","16,674"
Cement,Large,"5,830.25","8,377"
Cement,Medium,"3,431.25","8,772"
Cement,Small,"2,775","29,335"
Ceramic Products,Large,"15,702.50","24,932.50"
Ceramic Products,Medium,"16,912","37,998"
Ceramic Products,Small,"33,671.50","1,13,082"
Cloth Industry,Large,"3,617.50","10,133.25"
Cloth Industry,Medium,"3,624.75","13,098.50"
Cloth Industry,Small,"4,822","22,450.50"
Coal & Lignite,Large,"8,799","21,740"
Coal & Lignite,Medium,"5,012.50","13,404.50"
Coal & Lignite,Small,"2,273.25","7,816"
Cocoa Products & Confectionery Industry,Large,"2,076.50","10,798"
Cocoa Products & Confectionery Industry,Medium,"4,097","8,910.50"
Cocoa Products & Confectionery Industry,Small,"3,434.75","19,436.25"
Coffee Industry,Large,440.25,"2,577.50"
Coffee Industry,Medium,"2,970","30,970.75"
Coffee Industry,Small,"2,389.25","17,735"
Commercial Complexes,Large,"10,560","16,117"
Commercial Complexes,Medium,"37,707","3,00,000"
Commercial Complexes,Small,"9,752","1,97,025"
Communication Equipment,Large,"8,046","15,240"
Communication Equipment,Medium,"6,521","13,150"
Communication Equipment,Small,"15,397.50","33,088"
Computer Software,Large,"17,794.50","1,51,980.50"
Computer Software,Medium,"14,864","1,58,555"
Computer Software,Small,"11,231","88,969"
"Computers, peripherals and storage Device ",Large,"6,152","11,650"
"Computers, peripherals and storage Device ",Medium,"2,540.50","30,837.50"
"Computers, peripherals and storage Device ",Small,"48,673.75","1,86,342"
Consumer Electronics,Large,"7,156","12,996"
Consumer Electronics,Medium,"5,508.75","25,769"
Consumer Electronics,Small,"13,511","1,00,375"
Copper & Copper Products,Large,671.25,"3,794.75"
Copper & Copper Products,Medium,"1,703.50","6,478"
Copper & Copper Products,Small,"1,667.25","32,357.25"
"Cosmetics, Toiletries, Soaps & Detergents ",Large,"5,195.50","14,467.50"
"Cosmetics, Toiletries, Soaps & Detergents ",Medium,"4,870","11,213.50"
"Cosmetics, Toiletries, Soaps & Detergents ",Small,"4,500","15,974.50"
Cotton & Blended Yarn ,Large,"1,382.25","4,416.50"
Cotton & Blended Yarn ,Medium,"1,874.25","6,379.25"
Cotton & Blended Yarn ,Small,"2,419","14,897"
Courier Services,Large,"4,957.50","7,510"
Courier Services,Medium,"2,920.50","3,00,000"
Courier Services,Small,"7,666.75","1,03,539.25"
Crude Oil & Natural Gas,Large,"14,975","22,374"
Crude Oil & Natural Gas,Medium,"28,765.50","53,403.50"
Crude Oil & Natural Gas,Small,"50,000","2,70,824"
Dairy Products Industry,Large,"2,008.50","4,721.75"
Dairy Products Industry,Medium,"1,759.50","9,783.50"
Dairy Products Industry,Small,"3,097.50","26,306"
Diversified,Large,"6,600","15,600"
Diversified,Medium,"5,800","20,400"
Diversified,Small,"6,500","41,100"
Diversified Machinery,Large,"10,034.50","14,774.75"
Diversified Machinery,Medium,"7,248.50","23,231.75"
Diversified Machinery,Small,"6,381","13,111.25"
Diversified Manufacturing,Large,"4,050","8,714"
Diversified Manufacturing,Medium,"4,159","9,533"
Diversified Manufacturing,Small,"4,888.75","15,417.50"
Diversified Non-financial Services,Large,"7,435.75","27,970.75"
Diversified Non-financial Services,Medium,"5,978.50","33,772"
Diversified Non-financial Services,Small,"10,289","1,23,694"
Drugs & Pharmaceuticals ,Large,"6,944.50","12,063"
Drugs & Pharmaceuticals ,Medium,"6,089.50","12,108"
Drugs & Pharmaceuticals ,Small,"6,223.25","17,501.50"
Education,Large,"13,447","84,838"
Education,Medium,"21,100","1,77,938"
Education,Small,"9,461.75","66,726.25"
Electricity Generation,Large,"3,469.75","24,385.25"
Electricity Generation,Medium,"10,854","87,835.50"
Electricity Generation,Small,"19,271","1,55,125"
Electricity Transmission & Distribution Industry,Large,"6,003","23,032"
Electricity Transmission & Distribution Industry,Medium,"7,458.50","78,238"
Electricity Transmission & Distribution Industry,Small,"15,812.50","1,75,124"
Engines Industry,Large,"5,557.25","7,167.50"
Engines Industry,Medium,"6,527.50","11,042.75"
Engines Industry,Small,"15,774","45,256.50"
Ferro Alloys,Large,"2,895","5,996.50"
Ferro Alloys,Medium,"2,800.25","6,845"
Ferro Alloys,Small,"1,352","3,895"
Fertilisers,Large,"5,368.50","9,216.50"
Fertilisers,Medium,"2,794","18,841.50"
Fertilisers,Small,"6,302.75","63,418.75"
Footware ,Large,"5,269","9,884.50"
Footware ,Medium,"9,979","29,660"
Footware ,Small,"8,007.50","37,844"
Gems & Jewellery,Large,"1,481","7,329"
Gems & Jewellery,Medium,"1,028","8,522"
Gems & Jewellery,Small,"3,965","42,115"
General Purpose Machinery,Large,"7,547","12,058"
General Purpose Machinery,Medium,"6,573.50","17,949.50"
General Purpose Machinery,Small,"7,757.50","21,424.25"
"Generators, Transformers & Switchgears",Large,"7,486.25","14,540.25"
"Generators, Transformers & Switchgears",Medium,"7,941.50","17,640.75"
"Generators, Transformers & Switchgears",Small,"8,536","32,854"
Granite ,Large,"6,608","12,674"
Granite ,Medium,"3,415.50","23,942.25"
Granite ,Small,"8,095","1,11,632.50"
Healthcare Servises,Large,"7,057.75","15,356.75"
Healthcare Servises,Medium,"5,887","17,847"
Healthcare Servises,Small,"5,266","47,379"
Hotels & Restaurants,Large,"10,768","38,060"
Hotels & Restaurants,Medium,"11,300","40,242.75"
Hotels & Restaurants,Small,"9,391.75","63,880"
Housing Construction,Large,"7,811","48,828"
Housing Construction,Medium,"6,124.50","54,339"
Housing Construction,Small,"8,365","1,21,155.75"
Industrial Construction,Large,"11,064","25,885"
Industrial Construction,Medium,"10,217","39,096"
Industrial Construction,Small,"9,109","74,783"
Industrial Machinery,Large,"6,958.75","15,962.75"
Industrial Machinery,Medium,"5,712","17,230"
Industrial Machinery,Small,"7,987.50","27,053"
Infrastructural Construction,Large,"7,643","20,458"
Infrastructural Construction,Medium,"6,465.25","27,591.50"
Infrastructural Construction,Small,"8,450","83,950"
Inorganic Chemicals ,Large,"4,688","7,837"
Inorganic Chemicals ,Medium,"2,428.25","8,700.50"
Inorganic Chemicals ,Small,"1,748","7,993.75"
IT Enabled Services,Large,"31,872","2,52,364"
IT Enabled Services,Medium,"16,802","1,17,674"
IT Enabled Services,Small,"11,206.50","1,68,533.50"
Leather,Large,"4,968.50","10,840"
Leather,Medium,"8,561","23,196.75"
Leather,Small,"8,692.50","33,172.50"
Machine Tools,Large,"7,051","11,452"
Machine Tools,Medium,"6,051.50","13,162.25"
Machine Tools,Small,"8,831.75","32,020.50"
Man-made Filaments & Fibres Industry,Large,"2,078","6,035.50"
Man-made Filaments & Fibres Industry,Medium,"1,326","7,549.25"
Man-made Filaments & Fibres Industry,Small,"2,830.50","14,235"
Marine Foods,Large,820.75,"3,710.75"
Marine Foods,Medium,"2,384","6,108.75"
Marine Foods,Small,"1,601","15,647"
Media & Print,Large,"6,456","24,866.50"
Media & Print,Medium,"5,378","43,561.50"
Media & Print,Small,"5,156","30,250.25"
Milling Products ,Large,367.75,"1,987.25"
Milling Products ,Medium,389,"1,873.50"
Milling Products ,Small,574,"2,769"
Minerals,Large,"4,342","12,890"
Minerals,Medium,"3,844.25","10,584"
Minerals,Small,"8,517","58,117"
Mining & Construction Equipment ,Large,"15,658","28,812"
Mining & Construction Equipment ,Medium,"18,469.50","39,994"
Mining & Construction Equipment ,Small,"19,265.75","43,618"
Misc. Manufactured Article,Large,211,752
Misc. Manufactured Article,Medium,201,907
Misc. Manufactured Article,Small,193.5,985.25
Natural Gas Trading & Distribution Industry,Large,"1,836","3,274"
Natural Gas Trading & Distribution Industry,Medium,"4,227","6,943.50"
Natural Gas Trading & Distribution Industry,Small,"2,552.50","5,164.50"
Online Marketplaces,Large,"5,662","25,947"
Online Marketplaces,Medium,"3,729.75","46,292.75"
Online Marketplaces,Small,"12,829.50","2,03,791.50"
Organic Chemicals,Large,"2,482","6,817"
Organic Chemicals,Medium,"2,898.75","8,467.25"
Organic Chemicals,Small,"5,176.50","12,309.50"
Other Agricultural Products ,Large,"1,423.25","6,300.25"
Other Agricultural Products ,Medium,"1,140","9,991"
Other Agricultural Products ,Small,"3,845","31,523"
Other Chemical Products,Large,"5,167","9,995"
Other Chemical Products,Medium,"4,252","9,088"
Other Chemical Products,Small,"3,920","17,934"
Other Construction Material ,Large,"3,098","6,997"
Other Construction Material ,Medium,"5,088.25","15,759.75"
Other Construction Material ,Small,"5,087.50","41,320.75"
Other Domestic Appliance,Large,"6,507","10,105.50"
Other Domestic Appliance,Medium,"5,044.25","12,115.25"
Other Domestic Appliance,Small,"11,047.50","49,914.25"
Other Electronics,Large,"5,575.25","12,339"
Other Electronics,Medium,"6,337.25","16,475.50"
Other Electronics,Small,"6,861","23,383"
Other Ferrous Metal ,Large,"2,511","8,799.50"
Other Ferrous Metal ,Medium,"3,118.50","11,942.50"
Other Ferrous Metal ,Small,"4,335.75","21,332"
Other Industrial Machinery ,Large,"11,719.50","14,196"
Other Industrial Machinery ,Medium,"11,264","25,385.50"
Other Industrial Machinery ,Small,"16,894.50","25,391"
Other Leather & Related Products ,Large,"3,109","10,835"
Other Leather & Related Products ,Medium,"8,288","16,487"
Other Leather & Related Products ,Small,"10,120","26,635"
Other Misc Services,Large,"7,297","57,140"
Other Misc Services,Medium,"10,060","85,326.50"
Other Misc Services,Small,"18,071","3,00,000"
Other Non-ferrous Metals & Metal Products I,Large,"1,901.75","4,721"
Other Non-ferrous Metals & Metal Products I,Medium,782.75,"5,784.50"
Other Non-ferrous Metals & Metal Products I,Small,"4,666.50","12,770.75"
Other Textiles Industry,Large,"2,895.75","8,879.50"
Other Textiles Industry,Medium,"3,911","10,050.50"
Other Textiles Industry,Small,"6,202","22,674"
Other Transport Equipment & Ancillaries,Large,"5,480","14,680"
Other Transport Equipment & Ancillaries,Medium,"6,772.50","9,447.50"
Other Transport Equipment & Ancillaries,Small,"9,748","23,451"
Paints & Varnishes ,Large,"6,719","12,901"
Paints & Varnishes ,Medium,"6,384","12,628.25"
Paints & Varnishes ,Small,"8,323","12,138"
Paper Products ,Large,"4,090.50","9,147"
Paper Products ,Medium,"3,780.50","10,776"
Paper Products ,Small,"10,056","32,850"
Petroleum Products,Large,"2,419.25","8,849.25"
Petroleum Products,Medium,"2,557.75","8,027"
Petroleum Products,Small,"2,969","14,920"
Pig Iron,Large,"5,095.50","6,880"
Pig Iron,Medium,"4,744.25","10,492.75"
Pig Iron,Small,"6,518.50","10,484.50"
Plastic Products,Large,"3,273","7,361"
Plastic Products,Medium,"2,822.75","8,812.25"
Plastic Products,Small,"2,726.25","16,142.75"
Polymers,Large,"3,853","8,872"
Polymers,Medium,"6,902","10,143.50"
Polymers,Small,"3,298.25","8,925"
Poultry & Meat Products ,Large,"1,404.50","5,361.50"
Poultry & Meat Products ,Medium,"1,365","8,606"
Poultry & Meat Products ,Small,"1,970.50","19,315.50"
Processed Foods Industry,Large,"3,245","10,401"
Processed Foods Industry,Medium,"3,778.50","9,848"
Processed Foods Industry,Small,"4,838","22,161"
Railway Transport & Allied Services ,Large,"3,016.25","9,168"
Railway Transport & Allied Services ,Medium,"5,186","10,768"
Railway Transport & Allied Services ,Small,"50,000","3,00,000"
Readymade Garments,Large,"4,488","9,654"
Readymade Garments,Medium,"6,219.75","17,927.25"
Readymade Garments,Small,"5,565.75","31,275.75"
Refractories,Large,"6,464","10,009"
Refractories,Medium,"4,503.50","9,803"
Refractories,Small,"9,284.50","28,193.75"
Retail Trading ,Large,"2,016","12,349.50"
Retail Trading ,Medium,"3,099","19,497"
Retail Trading ,Small,"4,912","32,797"
Road Transport & Allied Services,Large,"2,840.50","25,994"
Road Transport & Allied Services,Medium,"4,135","75,138"
Road Transport & Allied Services,Small,"3,804.50","90,121"
Rubber Products,Large,"5,748","9,807"
Rubber Products,Medium,"6,116.50","12,701.75"
Rubber Products,Small,"5,917.50","18,173.50"
Shipping,Large,"6,722.75","13,850"
Shipping,Medium,"3,270.50","16,736"
Shipping,Small,"3,393","11,959"
Shipping Transport & Allied Services ,Large,"6,697.50","14,912.50"
Shipping Transport & Allied Services ,Medium,"8,111","49,852"
Shipping Transport & Allied Services ,Small,"4,785","1,43,240.50"
Sponge Iron,Large,"2,143.25","6,689.50"
Sponge Iron,Medium,"1,728.50","4,117.50"
Sponge Iron,Small,"1,843.75","22,123.50"
Starches,Large,"4,565","5,567.50"
Starches,Medium,"3,639","4,638"
Starches,Small,"3,348.50","10,813"
Steel,Large,"1,554.25","6,705.75"
Steel,Medium,"1,500","6,060"
Steel,Small,"1,978","13,700.50"
Steel Pipes & Tubes,Large,"1,773.75","6,330.25"
Steel Pipes & Tubes,Medium,"1,788","7,110"
Steel Pipes & Tubes,Small,"2,569.50","16,727"
Storage & Distribution Industry,Large,"9,053.50","39,804"
Storage & Distribution Industry,Medium,"6,508","56,424.50"
Storage & Distribution Industry,Small,"6,754","36,655.50"
Sugar Industry,Large,"5,953","20,002"
Sugar Industry,Medium,"8,516","23,819.75"
Sugar Industry,Small,"13,332.50","1,31,872.75"
Synthetic Rubber,Large,"4,719","4,719"
Synthetic Rubber,Medium,"8,654","8,654"
Synthetic Rubber,Small,"4,621","4,621"
Tea Industry,Large,"3,499.50","14,482.50"
Tea Industry,Medium,"4,345","17,304"
Tea Industry,Small,"7,207","28,874"
Telecommunication Services,Large,"7,615","25,954"
Telecommunication Services,Medium,"9,859.50","30,100"
Telecommunication Services,Small,"11,552.50","1,85,828"
Textile Others,Large,"2,941.25","8,914.25"
Textile Others,Medium,"3,351.75","10,814.50"
Textile Others,Small,"5,584","17,853"
Textile Processing ,Large,"1,778.75","7,649.50"
Textile Processing ,Medium,"4,969","15,067.25"
Textile Processing ,Small,"2,128.50","23,312"
Tobacco Products Industry,Large,"5,303.25","7,009.50"
Tobacco Products Industry,Medium,"2,805","24,843.50"
Tobacco Products Industry,Small,"5,397.25","20,765"
Tourism Industry,Large,"33,257","3,00,000"
Tourism Industry,Medium,"4,826","1,00,983"
Tourism Industry,Small,"7,676.50","3,00,000"
Transport Logistics Services,Large,"2,908.25","14,447.75"
Transport Logistics Services,Medium,"3,467.50","19,155.75"
Transport Logistics Services,Small,"4,207","52,730.75"
Vegetable Oils & Products Industry,Large,"1,008.25","4,794"
Vegetable Oils & Products Industry,Medium,836.5,"4,081"
Vegetable Oils & Products Industry,Small,"1,441.25","10,340.75"
Wires & Cables,Large,"4,015","14,700"
Wires & Cables,Medium,"4,331","7,237"
Wires & Cables,Small,"3,810","15,584"
Wood & Wood Products,Large,"5,724","13,967"
Wood & Wood Products,Medium,"5,366","12,912"
Wood & Wood Products,Small,"6,032","19,238"
